id,brand,title,price,mrp,discount,category,occasion,fabric,colour,sizes,season,style,age,rating,reviewCount
"38","ONLY","ONLY Silk Gown Style Kurta for Women","4450","5250","15","Ethnic Set","wedding","silk","Navy | Coral","XXL | S | L | XL | M | XS","summer","cottagecore","young-adult","3.5","8527"
"39","BIBA","BIBA Linen Saree with Blouse for Women","3000","3450","13","Ethnic Set","wedding","linen","Beige | Cobalt | Navy | Red","L | XL | XXL | M | S | XS","monsoon","k-fashion","adult","3.5","1824"
"40","W for Woman","W for Woman Denim Festival Outfit Set for Women","2300","2500","8","Ethnic Set","wedding","denim","Burgundy | Pink | Mint | Green","XL | S | XXL | XS","autumn","ethnic","mid-adult","4.6","9875"
"41","FabIndia","FabIndia Embroidered Chiffon Ethnic Set for Women","13800","16250","15","Ethnic Set","wedding","chiffon","Mint | Lavender","L | XXL | S","winter","minimalist","mature","4.9","11163"
"42","Gucci","Gucci Velvet Gown Style Kurta for Women","498700","586700","15","Ethnic Set","wedding","velvet","Yellow | Mint | White","XS | S | XXL | M | L","all seasons","boho","senior","3.9","9182"
"43","Louis Vuitton","Louis Vuitton Georgette Saree with Blouse for Women","291700","324100","10","Ethnic Set","wedding","georgette","Beige | Teal | Mint","L | S | XS | XL | M | XXL","spring","streetwear","teen","4.5","11154"
"44","Forever 21","Forever 21 Knit Gown Style Kurta for Women","2500","2850","13","Ethnic Set","wedding","knit","Teal | Cobalt | Lavender","L | XS | XXL | S","summer","classic","young-adult","3.5","1930"
"45","H&M","H&M Rayon Bomber Jacket for Women","2900","3050","5","Outerwear","wedding","rayon","Beige | Burgundy | Teal | Olive","Plus Size | Petite | XS | XXL | L | XL","monsoon","romantic","adult","4.2","9438"
"46","Zara","Zara Satin Double-Breasted Coat for Women","11650","13400","13","Outerwear","wedding","satin","Lavender | Green | Peach","S | XXL | L | XS","autumn","edgy","mid-adult","4.9","11774"
"47","Mango","Mango Polyester Shrug for Women","10400","11550","10","Outerwear","wedding","polyester","Green | Mint","XS | S | Petite | M | Plus Size | L","winter","preppy","mature","3.7","7401"
"48","Uniqlo","Uniqlo Viscose Puffer Jacket for Women","1000","1100","10","Outerwear","wedding","viscose","Mint | Cobalt","XS | S | M | L | Petite | Plus Size","all seasons","cottagecore","senior","4.6","9499"
"49","ONLY","ONLY Cropped Cotton Jacket for Women","4650","4900","5","Outerwear","wedding","cotton","Ivory | Yellow","S | Petite | L | XL","spring","k-fashion","teen","4.2","3275"
"50","BIBA","BIBA Silk Bomber Jacket for Women","9050","9650","6","Outerwear","wedding","silk","Burgundy | Black | Pink | Lavender | Navy","L | Petite | S | M | XL | XXL | Plus Size","summer","ethnic","young-adult","3.8","6914"
"51","W for Woman","W for Woman Linen Blazer for Women","3750","4200","11","Outerwear","wedding","linen","Navy | Teal | Blush | Blue | Olive","XL | XS | Petite | Plus Size | XXL | S | M","monsoon","minimalist","adult","4.2","12255"
"52","FabIndia","FabIndia Denim Overcoat for Women","13500","14350","6","Outerwear","wedding","denim","Teal | Red","S | XS | XL | M","autumn","boho","mid-adult","3.5","13014"
"53","Gucci","Gucci Chiffon Puffer Jacket for Women","193650","210500","8","Outerwear","wedding","chiffon","Beige | Mustard | Blue","M | S | L | XL | Petite","winter","streetwear","mature","4.2","4623"
"54","Louis Vuitton","Louis Vuitton Velvet Cape Jacket for Women","867100","1020100","15","Outerwear","wedding","velvet","Yellow | Pink | Cobalt | Beige | Ivory","L | XL | XS | S | M | Petite","all seasons","classic","senior","3.3","4837"
"55","Forever 21","Forever 21 Georgette Overcoat for Women","1100","1200","9","Outerwear","wedding","georgette","Green | Mint","XL | L | XXL | M | Plus Size","spring","romantic","teen","3.4","4529"
"56","H&M","H&M Knit Belted Jumpsuit for Women","7900","8700","9","Jumpsuit","wedding","knit","Navy | Mustard | Peach | Teal | Lavender","XS | XXL | Plus Size | S | M | Petite","summer","edgy","young-adult","4.1","10036"
"57","Zara","Zara Halter Neck Rayon Jumpsuit for Women","2400","2800","15","Jumpsuit","wedding","rayon","Burgundy | Red | Lavender","Plus Size | M | L | S","monsoon","preppy","adult","4.1","4671"
"58","Mango","Mango Floral Satin Playsuit for Women","6600","6950","5","Jumpsuit","wedding","satin","Black | Teal | Coral | Beige","M | Plus Size | S | Petite | L | XS","autumn","cottagecore","mid-adult","3.3","11777"
"59","Uniqlo","Uniqlo Polyester Utility Jumpsuit for Women","7800","8500","8","Jumpsuit","wedding","polyester","Black | Beige","XS | S | M | Petite | XL","winter","k-fashion","mature","3.9","5957"
"60","ONLY","ONLY Off-Shoulder Viscose Jumpsuit for Women","4850","5700","15","Jumpsuit","wedding","viscose","Coral | Burgundy | Yellow | Blue","XXL | XS | L | S | M | Petite | XL","all seasons","ethnic","senior","4.7","13272"
"61","BIBA","BIBA Cotton Utility Jumpsuit for Women","12000","13650","12","Jumpsuit","wedding","cotton","Mustard | Black","XS | S | Plus Size | M | XL | Petite","spring","minimalist","teen","3.4","14298"
"62","W for Woman","W for Woman Silk Utility Jumpsuit for Women","8100","8700","7","Jumpsuit","wedding","silk","Black | Beige | Pink | Peach | Mint","XL | M | S | XS | L | XXL","summer","boho","young-adult","4.4","7932"
"63","FabIndia","FabIndia Linen Utility Jumpsuit for Women","1400","1600","13","Jumpsuit","wedding","linen","Black | Mint | Coral | Ivory","XS | Petite | L | XXL | S | M | XL","monsoon","streetwear","adult","3.6","5067"
"64","Gucci","Gucci Ruched Denim Playsuit for Women","233050","264850","12","Jumpsuit","wedding","denim","Green | Yellow | Olive | Blue | Coral","XXL | XL | S | XS | L | M","autumn","classic","mid-adult","4","14592"
"65","Louis Vuitton","Louis Vuitton Floral Chiffon Playsuit for Women","144750","162650","11","Jumpsuit","wedding","chiffon","Green | Blue | Cobalt","XL | S | Plus Size | M | XS | XXL | Petite","winter","romantic","mature","4.6","6175"
"66","Forever 21","Forever 21 Printed Velvet Romper for Women","3700","4350","15","Jumpsuit","wedding","velvet","Blush | Navy | Beige | Teal","XL | Petite | XS | S | L | Plus Size","all seasons","edgy","senior","4.2","13646"
"67","H&M","H&M Striped Georgette Shirt for Women","5650","6200","9","Top","party","georgette","Yellow | Olive","L | Plus Size | XXL | M | S | XL","spring","preppy","teen","3.9","8257"
"68","Zara","Zara Embroidered Knit Kurti for Women","7100","7650","7","Top","party","knit","Coral | Black | White | Pink","M | XXL | XS | Petite | L","summer","cottagecore","young-adult","3.8","7684"
"69","Mango","Mango Printed Rayon Casual Top for Women","9100","10700","15","Top","party","rayon","Coral | Ivory | Blue | Teal","XL | XS | L | Petite | XXL | S | Plus Size","monsoon","k-fashion","adult","3.3","5522"
"70","Uniqlo","Uniqlo Satin Smocked Top for Women","5500","6450","15","Top","party","satin","Olive | Black | Cobalt","Plus Size | S | M | XL | Petite | XS","autumn","ethnic","mid-adult","3.7","10930"
"71","ONLY","ONLY Sheer Polyester Overlay Top for Women","5250","6100","14","Top","party","polyester","Yellow | Coral | Blue","XXL | XL | L | M","winter","minimalist","mature","4.9","11854"
"72","BIBA","BIBA Viscose Button-Down Shirt for Women","6750","7200","6","Top","party","viscose","Mint | Blue | Ivory | Black","XS | L | Plus Size | S | M | XXL | Petite","all seasons","boho","senior","4.3","14893"
"73","W for Woman","W for Woman Cotton Button-Down Shirt for Women","5950","6400","7","Top","party","cotton","Pink | Mint | Beige | Peach","Plus Size | M | Petite | S | XL | L | XS","spring","streetwear","teen","4.9","2462"
"74","FabIndia","FabIndia Polka Dot Silk Blouse for Women","2650","3000","11","Top","party","silk","Yellow | Green | Lavender","Petite | M | S | XS | XL","summer","classic","young-adult","3.8","12437"
"75","Gucci","Gucci Linen V-Neck Fitted Top for Women","373700","401850","7","Top","party","linen","Red | Lavender | Blush","L | Plus Size | M | XXL | XS | XL","monsoon","romantic","adult","3.5","10913"
"76","Louis Vuitton","Louis Vuitton Tie-Dye Denim Tank Top for Women","123350","129850","5","Top","party","denim","White | Beige | Blush | Red | Green","M | XS | Plus Size | S | XXL","autumn","edgy","mid-adult","4.1","4148"
"77","Forever 21","Forever 21 Chiffon Smocked Top for Women","700","750","6","Top","party","chiffon","Beige | Coral","Petite | XS | L | S | XL | M | XXL","winter","preppy","mature","3.9","10977"
"78","H&M","H&M Velvet Jogger Pants for Women","4400","4650","5","Bottom","party","velvet","Pink | Blue | Lavender | Blush","30 | 32 | 24 | 36","all seasons","cottagecore","senior","4","13894"
"79","Zara","Zara Georgette Bermuda Shorts for Women","8500","9350","9","Bottom","party","georgette","Coral | Blush | White","34 | 36 | 30 | 26 | 28 | 24 | 32","spring","k-fashion","teen","4.7","9713"
"80","Mango","Mango Pleated Knit A-Line Skirt for Women","5600","6300","11","Bottom","party","knit","Blue | Beige | White | Ivory","34 | 32 | 36 | 30 | 28 | 26","summer","ethnic","young-adult","3.4","6423"
"81","Uniqlo","Uniqlo Rayon Bermuda Shorts for Women","4650","5450","15","Bottom","party","rayon","Teal | Black","36 | 28 | 26 | 34 | 32 | 30","monsoon","minimalist","adult","3.7","14853"
"82","ONLY","ONLY Satin Palazzo Pants for Women","3000","3350","11","Bottom","party","satin","Red | Blush","XXL | XS | S | L | XL | M","autumn","boho","mid-adult","4.6","5333"
"83","BIBA","BIBA Ethnic Polyester Patiala for Women","1650","1800","8","Bottom","party","polyester","Blue | Beige | Teal | White","26 | 34 | 36 | 28","winter","streetwear","mature","4.6","10068"
"84","W for Woman","W for Woman Viscose Layered Skirt for Women","1100","1200","9","Bottom","party","viscose","White | Black | Cobalt","24 | 30 | 34 | 26 | 28","all seasons","classic","senior","4.1","5324"
"85","FabIndia","FabIndia Cotton Wide-Leg Trousers for Women","14800","15750","6","Bottom","party","cotton","Yellow | Coral | Ivory","36 | 34 | 32 | 30 | 28","spring","romantic","teen","4.8","9328"
"86","Gucci","Gucci Silk Pencil Skirt for Women","357100","375900","5","Bottom","party","silk","Blue | Olive | Peach | Mustard","L | M | XXL | S | XL | XS","summer","edgy","young-adult","3.6","3896"
"87","Louis Vuitton","Louis Vuitton Linen Palazzo Pants for Women","896700","1030700","13","Bottom","party","linen","Black | Blue","L | M | XXL | S | XL | XS","monsoon","preppy","adult","4.7","9782"
"88","Forever 21","Forever 21 Denim Palazzo Pants for Women","3450","3650","5","Bottom","party","denim","Red | Lavender | Cobalt | Blue | Mustard","XS | S | XL | M","autumn","cottagecore","mid-adult","3.6","14318"
"89","H&M","H&M Chiffon Puff Sleeve Dress for Women","7650","8400","9","Dress","party","chiffon","Blue | Lavender | White | Pink | Black","XXL | XL | M | S","winter","k-fashion","mature","3.5","7739"
"90","Zara","Zara Tiered Velvet Boho Dress for Women","5650","6550","14","Dress","party","velvet","Blue | Cobalt | Red","M | L | S","all seasons","ethnic","senior","4.9","3328"
"91","Mango","Mango Embroidered Georgette Anarkali for Women","1900","2100","9","Dress","party","georgette","Black | Lavender | Beige","M | S | XXL","spring","minimalist","teen","3.9","5535"
"92","Uniqlo","Uniqlo Ruched Knit Evening Dress for Women","7200","8100","11","Dress","party","knit","Beige | Green","XXL | L | XS","summer","boho","young-adult","4.6","6031"
"93","ONLY","ONLY Floral Rayon Maxi Dress for Women","3500","4000","13","Dress","party","rayon","Mint | Cobalt | White | Burgundy","S | XL | M","monsoon","streetwear","adult","3.4","2577"
"94","BIBA","BIBA Satin Asymmetric Hem Dress for Women","5650","6350","11","Dress","party","satin","Burgundy | Green | Blush | Blue | Red","L | S | XXL | XS | XL | M","autumn","classic","mid-adult","4.4","12782"
"95","W for Woman","W for Woman Polyester Asymmetric Hem Dress for Women","6350","7150","11","Dress","party","polyester","Blush | Navy | Mustard","XXL | XS | S | XL","winter","romantic","mature","3.3","11748"
"96","FabIndia","FabIndia Viscose Pleated Sundress for Women","12350","13000","5","Dress","party","viscose","Olive | Burgundy | Navy | White","XS | S | M | L | XL","all seasons","edgy","senior","3.4","14664"
"97","Gucci","Gucci Halter Cotton Backless Dress for Women","201400","214250","6","Dress","party","cotton","Lavender | Beige | Black","S | XXL | XL","spring","preppy","teen","3.6","9693"
"98","Louis Vuitton","Louis Vuitton Silk Bodycon Midi Dress for Women","170350","198100","14","Dress","party","silk","Red | White | Olive | Black | Beige","XS | S | M","summer","cottagecore","young-adult","3.9","3475"
"99","Forever 21","Forever 21 Ruched Linen Evening Dress for Women","3200","3450","7","Dress","party","linen","Blue | Red | Pink","XXL | XL | L | XS | S","monsoon","k-fashion","adult","4","3529"
"100","H&M","H&M Embroidered Denim Ethnic Set for Women","5900","6200","5","Ethnic Set","party","denim","Mustard | Olive | Black","XXL | XS | S | M | L | XL","autumn","ethnic","mid-adult","4.9","7547"
"101","Zara","Zara Chiffon Kurti with Churidar for Women","2300","2500","8","Ethnic Set","party","chiffon","Blue | Beige | Ivory | Peach | Yellow","XL | XS | S | M | L | XXL","winter","minimalist","mature","3.5","2175"
"102","Mango","Mango Velvet Kurta with Palazzo Set for Women","12000","13650","12","Ethnic Set","party","velvet","Green | Teal | Blue | Mint","XS | S | M | L | XL","all seasons","boho","senior","3.7","12084"
"103","Uniqlo","Uniqlo Georgette Sharara Set for Women","3200","3750","15","Ethnic Set","party","georgette","White | Black","M | L | XL","spring","streetwear","teen","3.9","7415"
"104","ONLY","ONLY Knit Indo-Western Fusion Set for Women","1600","1850","14","Ethnic Set","party","knit","Navy | Mustard","XXL | M | S | XS | XL","summer","classic","young-adult","4.7","4582"
"105","BIBA","BIBA Rayon Kurta with Palazzo Set for Women","10050","11700","14","Ethnic Set","party","rayon","Lavender | Burgundy","XS | S | XXL | M | L","monsoon","romantic","adult","4.2","10895"
"106","W for Woman","W for Woman Satin Patiala Suit Set for Women","4700","5050","7","Ethnic Set","party","satin","Blue | Beige | Cobalt | Red","S | XS | L | XL","autumn","edgy","mid-adult","4.4","7837"
"107","FabIndia","FabIndia Polyester Patiala Suit Set for Women","14550","16350","11","Ethnic Set","party","polyester","Coral | Mint | Black | Blush | Peach","XXL | XL | L | M | S | XS","winter","preppy","mature","4.4","8846"
"108","Gucci","Gucci Viscose Gown Style Kurta for Women","285300","313500","9","Ethnic Set","party","viscose","Black | Pink | Blue | Navy | Cobalt","S | M | XS | L","all seasons","cottagecore","senior","3.8","2038"
"109","Louis Vuitton","Louis Vuitton Cotton Salwar Kameez Set for Women","713100","819650","13","Ethnic Set","party","cotton","Red | Mustard | Black | Pink","S | XS | L | XL | M | XXL","spring","k-fashion","teen","4.3","11006"
"110","Forever 21","Forever 21 Silk Saree with Blouse for Women","3050","3200","5","Ethnic Set","party","silk","Pink | Burgundy | Coral | Green","XS | S | L | XXL | XL | M","summer","ethnic","young-adult","4","2513"
"111","H&M","H&M Linen Overcoat for Women","6100","6400","5","Outerwear","party","linen","Navy | Ivory","XS | L | Plus Size | XL","monsoon","minimalist","adult","3.3","8409"
"112","Zara","Zara Denim Trench Coat for Women","5850","6450","9","Outerwear","party","denim","Black | Mustard | White","S | Petite | XS | L | Plus Size","autumn","boho","mid-adult","4.8","10153"
"113","Mango","Mango Chiffon Denim Jacket for Women","2650","2950","10","Outerwear","party","chiffon","Burgundy | Teal | Coral | Yellow","Plus Size | XS | S | XL | Petite","winter","streetwear","mature","3.3","13338"
"114","Uniqlo","Uniqlo Velvet Puffer Jacket for Women","3250","3650","11","Outerwear","party","velvet","Olive | Peach | Cobalt","Petite | XXL | M | L","all seasons","classic","senior","3.4","10636"
"115","ONLY","ONLY Georgette Denim Jacket for Women","4600","5000","8","Outerwear","party","georgette","Beige | Mint | Peach","Petite | XL | XS | S","spring","romantic","teen","3.4","13609"
"116","BIBA","BIBA Knit Double-Breasted Coat for Women","1750","1900","8","Outerwear","party","knit","Red | Mint | Blue | Mustard | White","XXL | XS | Plus Size | L | Petite | XL | S","summer","edgy","young-adult","3.8","8044"
"117","W for Woman","W for Woman Rayon Puffer Jacket for Women","5200","6050","14","Outerwear","party","rayon","Green | Olive","XS | S | Plus Size | XXL | Petite","monsoon","preppy","adult","4.8","11047"
"118","FabIndia","FabIndia Satin Cape Jacket for Women","2050","2350","12","Outerwear","party","satin","Navy | Mint | Burgundy","L | XXL | Plus Size | XS | S | Petite","autumn","cottagecore","mid-adult","3.6","10616"
"119","Gucci","Gucci Polyester Blazer for Women","247450","284450","13","Outerwear","party","polyester","Ivory | Blush | Lavender","L | Petite | XXL | M | S | XS | XL","winter","k-fashion","mature","3.4","4506"
"120","Louis Vuitton","Louis Vuitton Viscose Puffer Jacket for Women","423250","475550","11","Outerwear","party","viscose","Green | Lavender | Blush","XS | XL | Petite | S | Plus Size | M","all seasons","ethnic","senior","5","9443"
"121","Forever 21","Forever 21 Cotton Denim Jacket for Women","2450","2800","12","Outerwear","party","cotton","Yellow | Beige | Ivory | White | Olive","Plus Size | XL | L | XXL | M | Petite","spring","minimalist","teen","4.5","12015"
"122","H&M","H&M Silk Strapless Jumpsuit for Women","4350","4650","6","Jumpsuit","party","silk","Beige | White | Blue | Olive | Mint","Petite | Plus Size | XXL | S | XS | XL","summer","boho","young-adult","3.4","6782"
"123","Zara","Zara Ruched Linen Playsuit for Women","7550","8100","7","Jumpsuit","party","linen","White | Lavender | Yellow | Teal","XL | L | XS | Petite | M | S | XXL","monsoon","streetwear","adult","4.2","968"
"124","Mango","Mango Halter Neck Denim Jumpsuit for Women","6400","6900","7","Jumpsuit","party","denim","Blue | Mustard | Green","XS | Petite | Plus Size | S | XXL","autumn","classic","mid-adult","3.6","5108"
"125","Uniqlo","Uniqlo Halter Neck Chiffon Jumpsuit for Women","5950","6850","13","Jumpsuit","party","chiffon","Pink | Cobalt | Yellow","XS | Petite | S | XL | M | Plus Size | L","winter","romantic","mature","4.9","8899"
"126","ONLY","ONLY Velvet Wide-Leg Jumpsuit for Women","4100","4300","5","Jumpsuit","party","velvet","Navy | Red","Plus Size | M | L | S | XXL","all seasons","edgy","senior","4","6581"
"127","BIBA","BIBA Georgette Co-ord Set for Women","4900","5150","5","Jumpsuit","party","georgette","Blue | Ivory | Red | Teal | Pink","XXL | Plus Size | XS | S | M | L","spring","preppy","teen","3.6","13681"
"128","W for Woman","W for Woman Knit Belted Jumpsuit for Women","9800","10550","7","Jumpsuit","party","knit","Mint | Black | White","S | Plus Size | Petite | XS | L | XXL","summer","cottagecore","young-adult","3.5","5631"
"129","FabIndia","FabIndia Printed Rayon Romper for Women","9300","10350","10","Jumpsuit","party","rayon","Mint | Lavender | Cobalt | Black | Peach","XS | S | Plus Size | Petite | XXL | XL","monsoon","k-fashion","adult","4.5","7994"
"130","Gucci","Gucci Off-Shoulder Satin Jumpsuit for Women","277150","314950","12","Jumpsuit","party","satin","Black | White | Teal | Mustard | Red","L | Plus Size | Petite | M","autumn","ethnic","mid-adult","4.4","10357"
"131","Louis Vuitton","Louis Vuitton Polyester Wide-Leg Jumpsuit for Women","736050","827000","11","Jumpsuit","party","polyester","Green | Blue | Burgundy | Black","S | XS | Plus Size | L | XL | M | Petite","winter","minimalist","mature","3.5","14169"
"132","Forever 21","Forever 21 Viscose Belted Jumpsuit for Women","3200","3450","7","Jumpsuit","party","viscose","Green | Black | Lavender | Beige","Petite | L | XL | S","all seasons","boho","senior","3.7","9492"
"133","H&M","H&M Cotton V-Neck Fitted Top for Women","4850","5200","7","Top","casual","cotton","Green | Navy | Pink","Petite | XL | L | M | XXL","spring","streetwear","teen","4.3","113"
"134","Zara","Zara Polka Dot Silk Blouse for Women","4800","5450","12","Top","casual","silk","Cobalt | Pink | Blush","Petite | M | XXL | S","summer","classic","young-adult","3.8","4021"
"135","Mango","Mango Solid Linen Sleeveless Top for Women","5700","6550","13","Top","casual","linen","Black | Beige | Yellow","Plus Size | XS | S | XXL | L","monsoon","romantic","adult","4.2","4448"
"136","Uniqlo","Uniqlo Denim Ruffled Sleeve Top for Women","7000","7600","8","Top","casual","denim","Blush | Burgundy | Beige | Peach","XL | Plus Size | XS | S | M | L","autumn","edgy","mid-adult","3.6","236"
"137","ONLY","ONLY Solid Chiffon Sleeveless Top for Women","1850","2000","7","Top","casual","chiffon","Blue | Yellow | Navy | White","XS | Plus Size | S | M | Petite","winter","preppy","mature","4","5865"
"138","BIBA","BIBA Tie-Dye Velvet Tank Top for Women","2250","2550","12","Top","casual","velvet","Red | Mint","XS | XXL | Plus Size | S | XL | Petite","all seasons","cottagecore","senior","4","14137"
